VCD info: dumpfile parking_tb.vcd opened for output.
Time: 0 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 0 | Parked Car: 0 | Uni Vacated Space: x | Vacated Space: x | uni_is_vacated_space: x | is_vacated_space: x | Fault: 0
Time: 5 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 0 | Parked Car: 0 | Uni Vacated Space: 500 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 10 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 0 | Parked Car: 0 | Uni Vacated Space: 500 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 20 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 0 | Parked Car: 0 | Uni Vacated Space: 500 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 25 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 1 | Parked Car: 0 | Uni Vacated Space: 499 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 30 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 1 | Parked Car: 0 | Uni Vacated Space: 499 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 35 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 40 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 45 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 50 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 55 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 1 | Parked Car: 1 | Uni Vacated Space: 499 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 60 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 1 | Parked Car: 1 | Uni Vacated Space: 499 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 70 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 1 | Parked Car: 1 | Uni Vacated Space: 499 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 80 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 1 | Parked Car: 1 | Uni Vacated Space: 499 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 85 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 90 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 100 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 105 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 1 | Parked Car: 0 | Uni Vacated Space: 499 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 110 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 1 | Parked Car: 0 | Uni Vacated Space: 499 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 115 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 120 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 125 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 130 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 140 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 145 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 3 | Parked Car: 1 | Uni Vacated Space: 497 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 150 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 1 | Uni Vacated Space: 497 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 155 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 2 | Uni Vacated Space: 497 | Vacated Space: 198 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 160 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 3 | Parked Car: 2 | Uni Vacated Space: 497 | Vacated Space: 198 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 165 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 2 | Uni Vacated Space: 498 | Vacated Space: 198 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 170 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 2 | Uni Vacated Space: 498 | Vacated Space: 198 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 175 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 1 | Uni Vacated Space: 497 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
